season,team,wins,losses,g,ppg,opp_ppg,fg_pct,tp_pct,ft_pct,rpg,apg,tov_pg,tp_attempts_pg,pace,srs
1992,Orlando Magic,21.0,61.0,82,101.6,108.5,45.300000000000004,32.4,74.6,42.7,21.9,17.0,7.4,98.0,-6.52
1992,Minnesota Timberwolves,15.0,67.0,82,100.5,107.5,45.800000000000004,32.0,74.3,40.7,24.7,14.1,4.8,95.1,-6.85
1992,Los Angeles Lakers,43.0,39.0,82,100.4,101.5,45.6,26.700000000000003,76.6,40.9,22.0,13.3,5.4,92.5,-0.95
1992,Denver Nuggets,24.0,58.0,82,99.7,107.6,44.2,30.099999999999998,73.8,45.1,18.9,17.6,5.1,98.6,-7.59
1992,Detroit Pistons,48.0,34.0,82,98.9,96.9,46.5,31.4,74.3,44.3,23.2,14.8,6.4,91.6,2.06
1992,Dallas Mavericks,22.0,60.0,82,97.6,105.3,43.9,33.6,75.0,44.3,19.9,14.7,9.7,94.4,-7.47
1993,Phoenix Suns,62.0,20.0,82,113.4,106.7,49.3,36.3,75.3,44.5,25.5,16.6,13.4,99.8,6.27
1993,Charlotte Hornets,44.0,38.0,82,110.1,110.4,48.699999999999996,32.6,77.10000000000001,43.9,26.4,16.2,6.5,100.2,-0.02
1993,Golden State Warriors,34.0,48.0,82,109.9,110.9,48.199999999999996,35.0,71.7,43.9,24.5,17.7,10.4,99.5,-0.94
1993,Portland Trail Blazers,51.0,31.0,82,108.5,105.4,45.800000000000004,32.6,74.5,45.5,24.0,14.8,10.3,99.1,2.92
1993,Seattle SuperSonics,55.0,27.0,82,108.3,101.3,48.6,35.699999999999996,76.1,42.4,23.2,15.5,7.4,96.0,6.66
1993,Sacramento Kings,25.0,57.0,82,107.9,111.1,46.300000000000004,33.2,76.2,41.7,25.3,16.6,9.6,100.8,-3.0
1993,Indiana Pacers,41.0,41.0,82,107.8,106.1,48.0,32.6,76.6,44.8,26.1,15.3,9.6,96.0,1.77
1993,Cleveland Cavaliers,54.0,28.0,82,107.7,101.3,49.7,38.1,80.2,41.8,28.6,13.7,9.0,94.8,6.3
1993,Atlanta Hawks,43.0,39.0,82,107.5,108.4,46.6,35.5,74.2,44.3,25.4,16.3,13.1,97.6,-0.67
1993,Los Angeles Clippers,41.0,41.0,82,107.1,106.8,48.4,27.1,71.8,43.2,27.3,16.3,6.0,99.1,0.33
